time,product,price,card_type,first_name,last_name,address,state,country
2019-10-18 11:32:23,Plaintain,21.16,switch,Johnette,Jakeman,1504 Hoard Junction,TX,United States
2020-01-09 00:00:37,Veal - Insides Grains,50.02,diners-club-enroute,Modesta,Dawidsohn,4493 Londonderry Avenue,CA,United States
2019-09-21 14:12:44,Oil - Margarine,86.39,maestro,Luisa,Ronaldson,0152 Goodland Pass,FL,United States
2019-02-02 01:03:20,Extract - Vanillaartificial,39.58,maestro,Krystalle,Scranedge,988 Basil Crossing,TX,United States
2019-11-14 17:23:45,V8 Pet,40.46,diners-club-carte-blanche,Cammie,Hintze,678 Hintze Way,PA,United States
2019-07-15 02:39:01,Crab - Claws 26 - 30,40.99,diners-club-carte-blanche,Gianni,Murr,712 Hansons Way,NY,United States
2019-04-24 17:30:13,Beer - Camerons Auburn,54.22,jcb,Edmon,Gonzalvo,2 Mandrake Circle,TN,United States
2019-04-10 20:43:37,Eggplant - Baby,66.71,jcb,Conny,Gascoigne,79745 Scoville Drive,GA,United States
2020-01-19 21:58:01,Pork - Shoulder,58.47,maestro,Gipsy,Jewel,5 Service Park,NC,United States
2019-03-21 22:17:29,Kirsch - Schloss,91.43,mastercard,Lennard,Cocher,86 Mcguire Parkway,TN,United States
2019-12-31 07:56:12,Bread Sour Rolls,81.73,diners-club-carte-blanche,Horacio,Rizzolo,45568 Carioca Lane,TX,United States
2019-12-07 11:25:43,Tea - Lemon Green Tea,29.07,jcb,Ethelred,Pedlar,5 Sullivan Road,IL,United States
2019-04-19 04:33:04,Container - Clear 32 Oz,59.71,mastercard,Latia,Wheeler,19 Crownhardt Alley,TN,United States
2019-08-29 21:01:40,Nut - Cashews Whole Raw,37.78,americanexpress,Laurie,Norsworthy,2 Acker Point,NV,United States
2019-03-29 19:21:53,Wine - Segura Viudas Aria Brut,35.73,americanexpress,Odo,McIlwraith,7325 Merry Pass,FL,United States
2019-03-19 08:33:24,Orange Roughy 6/8 Oz,55.69,mastercard,Lynsey,Sigg,50 Wayridge Pass,DC,United States
2020-01-03 19:47:12,Sprouts - Baby Pea Tendrils,48.99,bankcard,Hagen,Eton,4344 Almo Place,VA,United States
2019-08-10 17:13:26,Muffin - Mix - Mango Sour Cherry,48.03,jcb,Tracy,Kopfen,0486 Eagan Way,IL,United States
2019-09-11 22:09:05,Garbage Bags - Black,78.18,jcb,Cris,Kilalea,6043 Huxley Circle,NJ,United States
2019-07-02 09:23:11,Star Anise Whole,33.5,visa-electron,Nathanial,Windows,55 Walton Place,FL,United States
2019-07-09 18:14:16,Flower - Carnations,76.69,bankcard,Cullan,Kelk,1607 Troy Way,AL,United States
2019-04-22 18:03:58,Lamb Rack Frenched Australian,27.8,americanexpress,Fran,Gladding,48716 Walton Road,VA,United States
2019-01-31 01:25:35,Cookie Trail Mix,85.05,jcb,Lief,Popelay,32 Cherokee Street,TX,United States
2019-03-17 06:30:14,Arctic Char - Fresh Whole,35.33,jcb,Jody,Discombe,5 4th Place,PA,United States
2019-07-25 07:20:56,Ice Cream Bar - Drumstick,99.57,maestro,Atlanta,Malpass,81963 Reindahl Drive,NY,United States
2019-05-02 03:13:14,Nut - Hazelnut Ground Natural,50.84,diners-club-carte-blanche,Garrick,Sarchwell,609 Ruskin Road,TX,United States
2019-05-04 15:29:42,Pork - Caul Fat,77.74,diners-club-enroute,Emelita,Fero,250 Wayridge Terrace,CT,United States
2019-12-19 00:23:52,Mix - Cocktail Strawberry Daiquiri,21.2,jcb,Alessandro,Pates,7496 Meadow Valley Drive,MN,United States
2019-09-10 08:43:19,Sauce - Soya Light,89.06,jcb,Nyssa,Dreinan,433 High Crossing Point,NV,United States
2019-06-20 21:38:45,Pepper - Red Chili,97.76,americanexpress,Josh,Ianittello,77 Becker Place,KS,United States
2019-03-19 05:19:00,Tuna - Fresh,61.78,solo,Robinet,Wretham,72 Hollow Ridge Drive,MA,United States
2019-04-07 05:56:07,Sprouts - Brussel,76.43,laser,Phaidra,Tinker,85 Utah Place,OH,United States
2019-04-17 22:22:14,Pepper - Scotch Bonnet,76.62,jcb,Malachi,Stanyforth,069 Park Meadow Alley,TX,United States
2019-09-19 16:06:58,Wine - Soave Folonari,57.63,jcb,Becki,Sidey,97 Dunning Hill,IL,United States
2019-09-29 11:34:16,Table Cloth - 53x69 Colour,51.26,jcb,Lizbeth,Fratson,5 Shoshone Drive,NY,United States
2019-03-05 05:37:14,Wine - Sherry Dry Sack William,65.45,mastercard,Noll,Yeowell,12 Springs Avenue,AK,United States
2019-07-10 01:37:12,Bag - Clear 7 Lb,92.69,visa-electron,Davin,Fensome,145 Bunting Court,OH,United States
2019-05-13 21:27:20,Canada Dry,84.5,visa-electron,Amata,Geydon,2204 Barnett Hill,LA,United States
2019-09-08 18:37:39,Cheese - Cheddarsliced,29.38,switch,Dale,Demsey,3129 Elgar Point,MS,United States
2019-05-08 05:19:39,Flour - Corn Fine,95.23,maestro,Boniface,Fockes,1 Pennsylvania Way,CA,United States
2019-12-07 07:35:16,Bay Leaf,66.09,jcb,Orville,Huckin,38 Melrose Avenue,OR,United States
2019-04-19 10:38:54,Peas Snow,59.92,switch,Gabbi,Normaville,1435 Eastlawn Street,MO,United States
2019-12-20 19:41:55,Wine - Pinot Noir Mondavi Coastal,50.83,jcb,Chauncey,Icke,41 Prairieview Crossing,CA,United States
2019-11-07 04:32:38,Lettuce - Red Leaf,91.45,jcb,Ray,Kenwood,0111 Grayhawk Avenue,MI,United States
2019-09-03 15:54:35,Pepper - Chili Powder,31.52,mastercard,Danya,Nolder,9 Sundown Crossing,MN,United States
2019-05-25 18:52:34,Honey - Comb,79.84,maestro,Magdalena,Atkins,725 Melby Terrace,UT,United States
2019-02-20 22:40:03,Tea - Herbal Sweet Dreams,59.44,mastercard,Clem,Lorenzetti,91 Northland Street,CA,United States
2019-05-22 21:34:21,Sprouts - Onion,55.66,jcb,West,Petty,43753 Bowman Terrace,OR,United States
2019-09-14 12:10:14,Tea - Vanilla Chai,39.22,switch,Zeke,Richardes,9992 Moulton Junction,ID,United States
2019-04-01 16:21:48,Flavouring - Orange,31.28,maestro,Kerwin,Shakesby,2201 Heffernan Junction,LA,United States
2019-07-19 01:08:38,Beans - Black Bean Dry,48.36,jcb,Gaby,Bruun,332 Northland Lane,KY,United States
2019-06-22 16:36:16,Soup - Campbells Beef Noodle,81.31,jcb,Franz,Stanborough,561 David Way,KY,United States
2019-10-21 08:53:45,Lobster - Canned Premium,45.81,jcb,Curtice,Farthin,2 Dapin Plaza,GA,United States
2019-02-26 11:41:15,Lemonade - Strawberry 591 Ml,45.99,laser,Maritsa,Buckenham,78318 Lakeland Parkway,CA,United States
2019-10-06 13:05:05,Easy Off Oven Cleaner,99.79,mastercard,Ronnie,Able,1 Sunnyside Plaza,WV,United States
2019-07-28 07:24:13,Dried Apple,89.68,laser,Becka,Weeks,56513 Schmedeman Place,TX,United States
2019-08-01 10:00:35,Milk - 2% 250 Ml,94.6,visa-electron,Art,Garlett,1578 Basil Lane,TX,United States
2019-09-11 06:50:16,Chocolate Bar - Smarties,36.47,jcb,Way,Rollingson,768 Kim Way,TX,United States
2019-02-21 03:11:02,Lid Coffeecup 12oz D9542b,30.73,jcb,Christi,Tredget,0235 Hanson Alley,TX,United States
2019-03-14 17:46:27,Wine - Chianti Classico Riserva,99.6,maestro,Daloris,Gentzsch,09200 Orin Circle,WA,United States
2019-09-14 00:59:42,Bag Stand,59.93,jcb,Kass,Witherby,4097 Claremont Pass,VA,United States
2019-08-21 08:09:48,Puree - Kiwi,66.29,jcb,Rosalinde,Dubery,686 Stephen Hill,OH,United States
2019-09-11 12:29:41,Skewers - Bamboo,63.23,solo,Karyn,Cockshoot,29 Farmco Parkway,MS,United States
2019-12-21 12:59:07,Cheese - Havarti Salsa,98.99,americanexpress,Galven,Sprowell,1456 Kenwood Avenue,FL,United States
2019-09-13 23:55:49,Compound - Mocha,34.58,jcb,Alexa,Le Monnier,7 Talmadge Trail,TX,United States
2020-01-02 18:32:40,Squid U5 - Thailand,27.8,diners-club-carte-blanche,Katrina,Shutle,9 Warbler Crossing,CA,United States
2020-01-14 23:10:56,Cheese Cloth,63.42,diners-club-carte-blanche,Lodovico,Terris,0 Loeprich Way,VA,United States
2019-02-13 19:19:53,Scrubbie - Scotchbrite Hand Pad,24.7,jcb,Charo,Antliff,79 Derek Center,LA,United States
2019-03-20 05:28:14,Greens Mustard,29.95,jcb,Kahlil,Nortunen,45189 Marquette Parkway,CA,United States
2019-03-25 01:47:07,Tomatoes - Roma,64.97,jcb,Mercedes,Amiss,099 Starling Court,KY,United States
2019-02-09 08:06:35,Chocolate - Dark,59.8,mastercard,Sloan,Oakwood,50772 Kenwood Plaza,FL,United States
2019-12-24 17:31:49,Glass - Juice Clear 5oz 55005,21.92,laser,Lacy,Headan,4079 Service Drive,VA,United States
2019-03-30 21:26:18,Watercress,96.22,jcb,Malinde,Cours,58 Eagan Hill,LA,United States
2019-08-19 23:11:26,Chicken - Leg / Back Attach,20.01,solo,Rudie,Aukland,92 Elmside Point,MO,United States
2019-04-14 18:25:17,Compound - Raspberry,51.12,maestro,Nickie,Henmarsh,33 Nelson Avenue,NC,United States
2019-07-01 09:05:39,Sauce Tomato Pouch,97.89,jcb,Karola,Selwyn,9 Surrey Alley,VA,United States
2019-12-25 15:28:45,Lamb - Loin Trimmed Boneless,52.84,jcb,Kahlil,Dismore,8 Clarendon Center,MA,United States
2019-04-12 09:47:09,Containter - 3oz Microwave Rect.,58.99,china-unionpay,Danila,Frankham,86 Novick Parkway,OH,United States
2019-07-03 11:31:14,Lamb - Shanks,89.05,switch,Marlene,Espadas,21378 Menomonie Drive,GA,United States
2019-07-22 01:53:11,Tea - Herbal Orange Spice,53.58,jcb,Lovell,Shelbourne,46 Coolidge Way,TX,United States
2019-08-31 00:04:03,Stock - Veal White,88.78,jcb,Chelsey,Keates,802 Logan Place,FL,United States
2019-10-18 00:55:42,Mushroom - Enoki Fresh,98.48,visa,Bell,Newiss,2 Doe Crossing Court,NY,United States
2019-04-18 12:10:06,Shopper Bag - S - 4,83.37,bankcard,Kip,Sirey,13729 Utah Road,SD,United States
2019-04-30 11:15:43,Wine - Chateau Aqueria Tavel,62.16,bankcard,Gillian,Merrydew,579 Macpherson Parkway,FL,United States
2019-11-30 20:49:27,Clam - Cherrystone,63.82,jcb,Greta,Dyke,2399 Cody Terrace,OH,United States
2019-05-15 10:38:16,Aspic - Clear,95.22,jcb,Wenona,Habeshaw,7 Reindahl Park,PA,United States
2019-04-08 14:25:25,Cheese - Taleggio D.o.p.,77.1,jcb,Marijn,Redgewell,505 Shopko Parkway,DC,United States
2019-10-06 21:46:23,Apples - Spartan,74.05,instapayment,Margette,De Filippi,2156 Haas Point,NY,United States
2019-04-26 05:46:46,Napkin White - Starched,31.72,diners-club-enroute,Herta,Pidduck,3 Basil Terrace,TN,United States
2019-11-07 19:50:46,Coconut - Shredded Sweet,51.88,mastercard,Barr,Wheelhouse,02683 Nobel Avenue,MO,United States
2019-08-01 14:01:29,Pear - Packum,30.44,bankcard,Peg,Allsup,44 Jenna Parkway,TX,United States
2019-05-06 01:05:14,Squash - Guords,58.73,laser,Karoly,Stow,528 Basil Parkway,NC,United States
2019-06-15 08:32:55,Lamb - Ground,38.99,jcb,Charyl,Romayne,3217 Texas Crossing,MN,United States
2019-07-02 16:44:12,Rice - Aborio,25.14,americanexpress,Jaquith,Rambadt,7 Blaine Terrace,OH,United States
2019-03-16 08:29:36,Pepper - Orange,93.81,bankcard,Rori,Ledrun,790 Quincy Point,TX,United States
2019-08-11 07:10:27,Lobster - Base,61.97,jcb,Lisle,Geering,827 Springs Trail,AR,United States
2019-07-30 12:17:46,Buttons,97.39,jcb,Monty,Salliss,95602 Portage Terrace,MN,United States
2019-11-18 10:21:00,Blackberries,46.03,laser,Liv,Calles,1003 Moulton Circle,NV,United States
2019-03-05 20:15:12,Salt - Rock Course,78.33,jcb,Eadie,MacClay,2981 Sugar Street,HI,United States
2019-04-11 12:31:17,Miso - Soy Bean Paste,88.01,jcb,Bamby,Yanuk,8277 Cardinal Terrace,MD,United States
2020-01-10 01:44:41,Turkey - Whole Fresh,30.53,visa,Templeton,Sambrook,3669 Thompson Lane,CA,United States
2019-04-30 01:18:19,Pea - Snow,69.7,visa,Rhetta,Willoughley,25 Heath Plaza,KS,United States
2019-09-23 10:36:57,Cake - Cheese Cake 9 Inch,89.99,bankcard,Elysee,Reppaport,448 Red Cloud Place,TN,United States
2020-01-19 09:40:04,Wine - Cave Springs Dry Riesling,93.27,jcb,Kiley,Ludy,5678 Cody Road,PA,United States
2019-02-23 22:03:44,Piping Jelly - All Colours,94.67,diners-club-carte-blanche,Jilleen,Goodbairn,08104 Ridgeview Trail,WA,United States
2019-11-01 08:03:30,Clam - Cherrystone,83.57,bankcard,Laurene,Wasiela,1977 Welch Trail,MD,United States
2019-08-05 14:10:22,Wine - Clavet Saint Emilion,48.42,jcb,Iago,Bassom,116 Lien Trail,WA,United States
2019-03-25 19:15:06,Sugar Thermometer,39.37,americanexpress,Thom,Crichmer,4 Ryan Circle,DC,United States
2019-08-09 01:47:16,Towels - Paper / Kraft,53.9,diners-club-us-ca,Chrystel,Wherton,3358 Melrose Street,NY,United States
2019-07-09 11:30:32,Mace,25.24,bankcard,Brewster,Whyke,4 Crest Line Place,CA,United States
2019-11-09 00:33:35,Cabbage - Green,90.14,laser,Christal,Langham,2612 Steensland Drive,NC,United States
2019-03-06 08:08:50,Jagermeister,78.99,jcb,Cecilius,Hallaways,8 Brentwood Junction,DC,United States
2019-02-19 14:24:58,Wine - Casillero Del Diablo,64.94,diners-club-us-ca,Cynthea,Kimbly,5955 Atwood Place,DC,United States
2020-01-25 02:39:18,Taro Leaves,71.13,jcb,Zenia,Forder,5710 Southridge Pass,TX,United States
2019-05-11 06:37:55,Muffin Chocolate Individual Wrap,32.3,jcb,Arnie,Giottoi,52011 Moland Pass,TN,United States
2019-11-18 07:23:19,Pastry - Cherry Danish - Mini,47.83,jcb,Wat,Blacklock,5 Tomscot Park,TX,United States
2019-04-04 09:11:32,Water - Mineral Natural,64.24,switch,Pepita,Marcome,660 Transport Street,FL,United States
2019-06-22 20:20:38,Cups 10oz Trans,82.28,china-unionpay,Darice,Matthiae,04 American Terrace,TX,United States
2019-08-19 16:25:32,Shrimp - Black Tiger 6 - 8,45.53,visa-electron,Janie,Kornel,58512 Glendale Place,WA,United States
2019-02-16 11:56:18,Rum - Mount Gay Eclipes,34.12,mastercard,Freddy,Bellenie,52 Fuller Plaza,CA,United States
2020-01-21 04:34:21,Chocolate - Unsweetened,21.28,mastercard,Belicia,Ludlem,6 8th Alley,VA,United States
2019-07-02 17:44:56,Salad Dressing,40.58,mastercard,Brigit,Marsie,9854 Schlimgen Road,FL,United States
2019-09-13 04:33:47,Wine - Muscadet Sur Lie,79.09,laser,Lesli,Elsmore,13021 Blaine Drive,TX,United States
2019-12-18 17:28:54,Beef - Bones Marrow,26.79,china-unionpay,Anastasia,Anglim,8 Menomonie Crossing,CA,United States
2019-05-29 16:14:53,Halibut - Fletches,56.49,jcb,Masha,Sugden,5656 Londonderry Circle,AZ,United States
2020-01-12 12:17:02,Sauerkraut,28.99,maestro,Lea,Van Arsdall,42 Muir Crossing,IL,United States
2019-12-01 20:34:28,Ham - Cooked Bayonne Tinned,29.36,jcb,Timoteo,Chishull,95778 Arizona Circle,FL,United States
2019-10-08 22:49:15,Ecolab Digiclean Mild Fm,76.95,jcb,Lurleen,Guilford,8059 Blue Bill Park Junction,MA,United States
2019-06-04 21:36:11,Beef Dry Aged Tenderloin Aaa,87.9,jcb,Valera,Eacle,5 Brentwood Pass,AZ,United States
2019-11-18 09:00:51,Cucumber - English,27.41,diners-club-carte-blanche,Care,Shillum,3 Novick Court,IL,United States
2019-08-04 16:05:30,Dish Towel,52.95,jcb,Renaud,Waggitt,3 Kings Hill,NM,United States
2019-11-21 19:41:02,Shrimp - Black Tiger 8 - 12,82.2,diners-club-enroute,Melania,Bourbon,9210 Lake View Crossing,MI,United States
2019-10-24 04:57:23,Chilli Paste Hot Sambal Oelek,82.1,jcb,Cristal,Linzey,10 Gulseth Plaza,CA,United States
2019-07-05 05:28:59,Wine - Marlbourough Sauv Blanc,91.29,jcb,Iormina,McLeish,6285 Golf View Center,TN,United States
2019-11-01 00:55:06,Bag - Regular Kraft 20 Lb,67.39,switch,Darwin,Coleson,32 Mallard Park,NV,United States
2019-02-13 14:26:45,Samosa - Veg,60.96,mastercard,Sasha,Pawlick,6 Oxford Trail,FL,United States
2019-01-30 16:51:20,Pastry - Apple Muffins - Mini,53.76,switch,Haskel,Janicki,175 Fuller Trail,OR,United States
2019-09-26 10:35:30,Magnotta Bel Paese Red,53.78,jcb,Douglass,Deuss,10 Cascade Lane,FL,United States
2019-11-26 08:03:22,Mushroom - Crimini,59.15,jcb,Filberte,Patifield,529 Del Sol Road,NV,United States
2019-08-21 20:01:25,Shrimp - 100 / 200 Cold Water,51.78,jcb,Kellyann,Zarb,514 Coolidge Hill,NC,United States
2019-09-15 01:37:36,Liners - Baking Cups,71.24,jcb,Elna,Olivera,70767 Gerald Trail,HI,United States
2019-09-18 17:50:36,Potatoes - Mini Red,75.38,diners-club-international,Pen,Ottam,0408 Beilfuss Road,AR,United States
2019-06-04 11:34:58,Soup - Campbells Beef Stew,52.18,maestro,Nonah,Dobsons,756 Anzinger Center,NY,United States
2019-09-04 20:28:52,Crush - Grape 355 Ml,69.04,maestro,Morrie,Gajownik,9 Sunnyside Street,IL,United States
2019-08-04 07:06:16,Soup - Canadian Pea Dry Mix,56.03,mastercard,Zacharias,Crowder,5 Jay Lane,FL,United States
2020-01-20 07:19:49,Ecolab - Hand Soap Form Antibac,29.04,bankcard,Papageno,Hanne,53 Weeping Birch Terrace,OR,United States
2020-01-24 10:41:39,Pork - Sausage Casing,60.2,jcb,Flemming,Martensen,235 Esker Park,TX,United States
2019-10-18 04:06:19,Basil - Thai,66.37,jcb,Opalina,Dobbinson,6707 Anhalt Avenue,PA,United States
2019-08-27 22:21:29,Bagel - Whole White Sesame,33.71,jcb,Amabel,Shouler,53 Brickson Park Terrace,PA,United States
2019-03-28 13:11:03,Dill Weed - Dry,64.25,jcb,Gordon,Semor,2869 Maple Wood Junction,MO,United States
2019-04-26 08:13:45,Devonshire Cream,83.32,laser,Panchito,Sibbson,17194 Jay Alley,TX,United States
2019-06-30 22:36:15,Salmon Steak - Cohoe 6 Oz,85.37,jcb,Ibrahim,Yendle,4 Warner Trail,HI,United States
2019-12-08 11:21:37,Dish Towel,75.02,mastercard,Normand,Basile,87596 Golf Circle,MD,United States
2019-08-21 04:10:03,Cake - Bande Of Fruit,28.49,jcb,Antonia,Kittman,14 Dwight Trail,MN,United States
2019-08-31 11:10:56,Tuna - Canned Flaked Light,96.46,jcb,Aloise,Borne,7732 Vernon Road,MN,United States
2019-04-01 06:15:39,Appetiser - Bought,30.33,china-unionpay,Babbie,Stirgess,2 Armistice Street,CA,United States
2019-08-28 02:13:58,Lettuce - Belgian Endive,51.25,jcb,Pia,Thomson,7217 Dorton Plaza,TN,United States
2019-08-20 10:45:50,Lid - 3oz Med Rec,89.61,jcb,Carly,Sultana,4079 Oakridge Terrace,MT,United States
2019-03-18 15:38:23,Scallops - 20/30,47.43,jcb,Moselle,Restieaux,482 Pine View Street,NJ,United States
2019-08-28 05:59:09,Extract - Raspberry,72.93,visa,Karole,Watman,1 Aberg Circle,CA,United States
2019-12-01 11:55:32,Cabbage - Red,84.98,jcb,Alfonso,Tschiersch,0175 Rieder Alley,UT,United States
2020-01-10 12:49:09,Versatainer Nc - 888,53.91,jcb,Bibby,Orton,60 Hauk Circle,NJ,United States
2019-11-19 13:17:40,Wine - Red Metus Rose,34.52,solo,Kinnie,Hambelton,14088 Fairview Way,NY,United States
2019-06-13 21:06:46,Duck - Fat,65.43,diners-club-carte-blanche,Boote,Sterke,2574 Marquette Crossing,GA,United States
2019-12-04 23:31:18,Cake - Miini Cheesecake Cherry,31.38,jcb,Melinda,Dary,5582 Springview Place,AK,United States
2019-04-10 11:05:21,Turnip - White Organic,70.76,mastercard,Hans,Harty,33 Marquette Park,TX,United States
2019-06-26 13:21:09,Dawn Professionl Pot And Pan,27.25,visa,Lani,Mabb,9632 Pond Parkway,MD,United States
2020-01-05 04:00:48,Icecream - Dstk Cml And Fdg,48.14,jcb,Kylie,Doe,887 Fairview Lane,AK,United States
2019-10-19 06:40:20,Burger Veggie,94.64,instapayment,Web,Bovey,9925 Northview Plaza,DC,United States
2019-01-31 18:17:53,Wine - Sawmill Creek Autumn,64.9,jcb,Haily,Slarke,38 Browning Street,CA,United States
2019-06-26 06:15:29,Beef - Tender Tips,39.76,jcb,Karylin,Gallard,1 Eliot Plaza,CO,United States
2019-01-30 18:41:08,Beef - Bones Marrow,65.18,jcb,Aleda,Pedel,9 Mendota Court,CT,United States
2019-03-02 06:52:14,Cumin - Whole,24.36,jcb,Oren,Grunnell,39 Summerview Parkway,AL,United States
2019-10-30 06:37:20,Savory,24.16,mastercard,Meade,Cottrell,32770 Eastlawn Hill,NM,United States
2019-11-23 01:42:42,Lettuce - Arugula,38.22,maestro,Anthiathia,Matyasik,2 Stuart Avenue,AZ,United States
